Benchmark (Subset) set:
| Dataset   | # samples | Accuracy | 1 - NED | Confidence | Label Length |
|:---------:|----------:|---------:|--------:|-----------:|-------------:|
| IIIT5k    |      3000 |    98.63 |   99.60 |      92.53 |         5.09 |
| SVT       |       647 |    98.15 |   99.44 |      90.28 |         5.87 |
| IC13_857  |       857 |    98.60 |   99.60 |      93.52 |         5.99 |
| IC15_1811 |      1811 |    90.50 |   96.84 |      86.63 |         5.38 |
| SVTP      |       645 |    94.11 |   97.87 |      88.09 |         5.84 |
| CUTE80    |       288 |    97.22 |   99.19 |      92.35 |         5.53 |
|-----------|-----------|----------|---------|------------|--------------|
| Combined  |      7248 |    96.10 |   98.72 |      90.57 |         5.42 |


Benchmark set:
| Dataset   | # samples | Accuracy | 1 - NED | Confidence | Label Length |
|:---------:|----------:|---------:|--------:|-----------:|-------------:|
| IIIT5k    |      3000 |    98.63 |   99.60 |      92.53 |         5.09 |
| SVT       |       647 |    98.15 |   99.44 |      90.28 |         5.87 |
| IC13_1015 |      1015 |    98.03 |   99.12 |      93.70 |         5.31 |
| IC15_2077 |      2077 |    88.69 |   95.92 |      84.70 |         5.33 |
| SVTP      |       645 |    94.11 |   97.87 |      88.09 |         5.84 |
| CUTE80    |       288 |    97.22 |   99.19 |      92.35 |         5.53 |
|-----------|-----------|----------|---------|------------|--------------|
| Combined  |      7672 |    95.39 |   98.36 |      89.99 |         5.33 |


