Benchmark (Subset) set:
| Dataset   | # samples | Accuracy | 1 - NED | Confidence | Label Length |
|:---------:|----------:|---------:|--------:|-----------:|-------------:|
| IIIT5k    |      3000 |    94.60 |   98.69 |      79.07 |         5.08 |
| SVT       |       647 |    91.19 |   97.78 |      76.01 |         5.85 |
| IC13_857  |       857 |    93.58 |   98.42 |      81.61 |         5.98 |
| IC15_1811 |      1811 |    81.83 |   94.43 |      70.26 |         5.30 |
| SVTP      |       645 |    80.93 |   93.57 |      68.33 |         5.72 |
| CUTE80    |       288 |    89.58 |   97.03 |      73.34 |         5.49 |
|-----------|-----------|----------|---------|------------|--------------|
| Combined  |      7248 |    89.57 |   96.99 |      75.71 |         5.38 |
Benchmark set:
| Dataset   | # samples | Accuracy | 1 - NED | Confidence | Label Length |
|:---------:|----------:|---------:|--------:|-----------:|-------------:|
| IIIT5k    |      3000 |    94.60 |   98.69 |      79.07 |         5.08 |
| SVT       |       647 |    91.19 |   97.78 |      76.01 |         5.85 |
| IC13_1015 |      1015 |    94.09 |   98.32 |      82.86 |         5.30 |
| IC15_2077 |      2077 |    78.38 |   91.89 |      66.45 |         5.21 |
| SVTP      |       645 |    80.93 |   93.57 |      68.33 |         5.72 |
| CUTE80    |       288 |    89.58 |   97.03 |      73.34 |         5.49 |
|-----------|-----------|----------|---------|------------|--------------|
| Combined  |      7672 |    88.52 |   96.23 |      74.78 |         5.28 |
