Benchmark (Subset) set:
| Dataset   | # samples | Accuracy | 1 - NED | Confidence | Label Length |
|:---------:|----------:|---------:|--------:|-----------:|-------------:|
| IIIT5k    |      3000 |    98.30 |   99.60 |      96.24 |         5.09 |
| SVT       |       647 |    97.06 |   99.31 |      94.23 |         5.87 |
| IC13_857  |       857 |    97.90 |   99.50 |      96.68 |         5.99 |
| IC15_1811 |      1811 |    89.18 |   96.62 |      90.56 |         5.37 |
| SVTP      |       645 |    92.40 |   98.19 |      91.20 |         5.86 |
| CUTE80    |       288 |    97.22 |   99.22 |      95.02 |         5.53 |
|-----------|-----------|----------|---------|------------|--------------|
| Combined  |      7248 |    95.30 |   98.68 |      94.19 |         5.42 |


Benchmark set:
| Dataset   | # samples | Accuracy | 1 - NED | Confidence | Label Length |
|:---------:|----------:|---------:|--------:|-----------:|-------------:|
| IIIT5k    |      3000 |    98.30 |   99.60 |      96.24 |         5.09 |
| SVT       |       647 |    97.06 |   99.31 |      94.23 |         5.87 |
| IC13_1015 |      1015 |    97.93 |   99.33 |      96.81 |         5.31 |
| IC15_2077 |      2077 |    88.11 |   95.96 |      89.53 |         5.33 |
| SVTP      |       645 |    92.40 |   98.19 |      91.20 |         5.86 |
| CUTE80    |       288 |    97.22 |   99.22 |      95.02 |         5.53 |
|-----------|-----------|----------|---------|------------|--------------|
| Combined  |      7672 |    94.85 |   98.42 |      93.86 |         5.33 |


