Benchmark (Subset) set:
| Dataset   | # samples | Accuracy | 1 - NED | Confidence | Label Length |
|:---------:|----------:|---------:|--------:|-----------:|-------------:|
| IIIT5k    |      3000 |    98.60 |   99.66 |      94.69 |         5.09 |
| SVT       |       647 |    97.06 |   99.16 |      92.79 |         5.86 |
| IC13_857  |       857 |    97.90 |   99.40 |      95.00 |         5.98 |
| IC15_1811 |      1811 |    90.06 |   96.77 |      88.75 |         5.36 |
| SVTP      |       645 |    93.95 |   98.37 |      89.11 |         5.85 |
| CUTE80    |       288 |    98.61 |   99.66 |      93.90 |         5.53 |
|-----------|-----------|----------|---------|------------|--------------|
| Combined  |      7248 |    95.83 |   98.75 |      92.55 |         5.42 |


Benchmark set:
| Dataset   | # samples | Accuracy | 1 - NED | Confidence | Label Length |
|:---------:|----------:|---------:|--------:|-----------:|-------------:|
| IIIT5k    |      3000 |    98.60 |   99.66 |      94.69 |         5.09 |
| SVT       |       647 |    97.06 |   99.16 |      92.79 |         5.86 |
| IC13_1015 |      1015 |    97.83 |   99.15 |      95.21 |         5.30 |
| IC15_2077 |      2077 |    89.22 |   96.20 |      87.42 |         5.33 |
| SVTP      |       645 |    93.95 |   98.37 |      89.11 |         5.85 |
| CUTE80    |       288 |    98.61 |   99.66 |      93.90 |         5.53 |
|-----------|-----------|----------|---------|------------|--------------|
| Combined  |      7672 |    95.44 |   98.51 |      92.13 |         5.33 |


