Benchmark (Subset) set:
| Dataset   | # samples | Accuracy | 1 - NED | Confidence | Label Length |
|:---------:|----------:|---------:|--------:|-----------:|-------------:|
| IIIT5k    |      3000 |    97.93 |   99.57 |      90.20 |         5.09 |
| SVT       |       647 |    95.98 |   99.05 |      87.45 |         5.86 |
| IC13_857  |       857 |    97.67 |   99.46 |      91.47 |         5.99 |
| IC15_1811 |      1811 |    89.01 |   96.62 |      82.32 |         5.37 |
| SVTP      |       645 |    91.47 |   97.50 |      83.18 |         5.84 |
| CUTE80    |       288 |    96.18 |   98.64 |      90.25 |         5.52 |
|-----------|-----------|----------|---------|------------|--------------|
| Combined  |      7248 |    94.85 |   98.55 |      87.51 |         5.42 |


Benchmark set:
| Dataset   | # samples | Accuracy | 1 - NED | Confidence | Label Length |
|:---------:|----------:|---------:|--------:|-----------:|-------------:|
| IIIT5k    |      3000 |    97.93 |   99.57 |      90.20 |         5.09 |
| SVT       |       647 |    95.98 |   99.05 |      87.45 |         5.86 |
| IC13_1015 |      1015 |    97.83 |   99.35 |      92.26 |         5.31 |
| IC15_2077 |      2077 |    87.53 |   95.98 |      80.45 |         5.33 |
| SVTP      |       645 |    91.47 |   97.50 |      83.18 |         5.84 |
| CUTE80    |       288 |    96.18 |   98.64 |      90.25 |         5.52 |
|-----------|-----------|----------|---------|------------|--------------|
| Combined  |      7672 |    94.33 |   98.32 |      87.01 |         5.33 |


